nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
        82, 3.000000054E-01,-3.272727291E-01, 1.249999956E-01, 1.278948300E-01, 2.835641156E-03,-3.956042989E-03, 2.380174270E+00
        83, 4.499999921E-01,-3.272727395E-01, 1.249999996E-01, 1.279851872E-01, 1.184564986E-03, 7.309873601E-04, 2.382010551E+00
        84, 6.000000172E-01,-3.272727321E-01, 1.249999968E-01, 1.281213039E-01, 4.415445802E-04, 2.101651903E-03, 2.378712910E+00
        85, 7.500000194E-01,-3.272727321E-01, 1.249999965E-01, 1.282903510E-01, 2.549148209E-04, 1.890587914E-03, 2.374458691E+00
        86, 8.999999860E-01,-3.272727398E-01, 1.249999995E-01, 1.284880111E-01, 2.896032740E-04, 1.153229003E-03, 2.370828440E+00
        87, 1.049999886E+00,-3.272727248E-01, 1.249999940E-01, 1.287159005E-01, 3.618348991E-04, 3.579110387E-04, 2.368140934E+00
        88, 1.200000032E+00,-3.272727321E-01, 1.249999968E-01, 1.289784529E-01, 4.081536630E-04,-3.562299007E-04, 2.366224183E+00
        89, 1.350000032E+00,-3.272727309E-01, 1.249999961E-01, 1.292831051E-01, 4.196762950E-04,-9.797725973E-04, 2.364848399E+00
        90, 1.499999971E+00,-3.272727169E-01, 1.249999909E-01, 1.296391278E-01, 4.084072373E-04,-1.536570590E-03, 2.363824789E+00
        91, 1.649999926E+00,-3.272727321E-01, 1.249999968E-01, 1.300562802E-01, 3.862730061E-04,-2.053994638E-03, 2.363009841E+00
        92, 1.799999931E+00,-3.272727321E-01, 1.249999968E-01, 1.305409448E-01, 3.653460278E-04,-2.552072816E-03, 2.362289425E+00
        93, 1.950000047E+00,-3.272727309E-01, 1.249999961E-01, 1.310971879E-01, 3.553149086E-04,-3.042082178E-03, 2.361578336E+00
        94, 2.099999954E+00,-3.272727346E-01, 1.249999977E-01, 1.317253745E-01, 3.621991504E-04,-3.530189835E-03, 2.360805522E+00
        95, 2.250000011E+00,-3.272727248E-01, 1.249999940E-01, 1.324205244E-01, 3.906515976E-04,-4.017129646E-03, 2.359910326E+00
        96,-4.499999921E-01,-3.090909206E-01, 1.249999996E-01, 1.274571106E-01, 1.705104676E-03,-2.164463650E-03, 2.279449663E+00
        97,-3.000000054E-01,-3.090909108E-01, 1.249999956E-01, 1.277176635E-01, 3.057899301E-03,-6.462637533E-03, 2.284799916E+00
        98,-1.500000057E-01,-3.090909137E-01, 1.249999993E-01, 1.279154702E-01, 5.132148352E-03,-1.598871685E-02, 2.300336813E+00
        99,-1.288032181E-15,-3.090909137E-01, 1.249999968E-01, 1.279426336E-01, 6.415022925E-03,-2.333616011E-02, 2.332996843E+00
       100, 1.500000041E-01,-3.090909114E-01, 1.249999959E-01, 1.278978788E-01, 5.281459749E-03,-1.596910973E-02, 2.366261223E+00
       101, 3.000000054E-01,-3.090909108E-01, 1.249999956E-01, 1.279197344E-01, 2.861278677E-03,-4.830760627E-03, 2.380974133E+00
       102, 4.499999921E-01,-3.090909206E-01, 1.249999996E-01, 1.280059111E-01, 1.078427734E-03, 9.944188723E-04, 2.382237668E+00
       103, 6.000000172E-01,-3.090909137E-01, 1.249999968E-01, 1.281376155E-01, 2.641605769E-04, 2.624477249E-03, 2.378641171E+00
       104, 7.500000194E-01,-3.090909137E-01, 1.249999965E-01, 1.283058415E-01, 2.812333784E-05, 2.278272528E-03, 2.374297245E+00
