nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       126, 1.200000069E+00,-2.909091039E-01, 0.000000000E+00, 1.680305213E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       127, 1.350000037E+00,-2.909090952E-01, 0.000000000E+00, 1.680548074E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       128, 1.500000042E+00,-2.909090952E-01, 0.000000000E+00, 1.681268448E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       129, 1.649999926E+00,-2.909090952E-01, 0.000000000E+00, 1.682224078E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       130, 1.799999875E+00,-2.909090866E-01, 0.000000000E+00, 1.683469158E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       131, 1.950000054E+00,-2.909090952E-01, 0.000000000E+00, 1.684934429E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       132, 2.099999954E+00,-2.909090974E-01, 0.000000000E+00, 1.686540225E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       133, 2.250000061E+00,-2.909090952E-01, 0.000000000E+00, 1.688177553E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       134,-4.499999820E-01,-2.727272768E-01, 0.000000000E+00, 1.651590594E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       135,-3.000000072E-01,-2.727272768E-01, 0.000000000E+00, 1.654158027E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       136,-1.500000050E-01,-2.727272768E-01, 0.000000000E+00, 1.667518814E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       137, 7.771561172E-16,-2.727272768E-01, 0.000000000E+00, 1.696425596E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       138, 1.500000033E-01,-2.727272727E-01, 0.000000000E+00, 1.710503277E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       139, 3.000000072E-01,-2.727272768E-01, 0.000000000E+00, 1.702577529E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       140, 4.499999820E-01,-2.727272768E-01, 0.000000000E+00, 1.693313592E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       141, 5.999999973E-01,-2.727272687E-01, 0.000000000E+00, 1.687420891E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       142, 7.500000434E-01,-2.727272849E-01, 0.000000000E+00, 1.684045685E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       143, 8.999999640E-01,-2.727272768E-01, 0.000000000E+00, 1.682318190E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       144, 1.049999909E+00,-2.727272768E-01, 0.000000000E+00, 1.681745149E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       145, 1.200000069E+00,-2.727272849E-01, 0.000000000E+00, 1.681854664E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       146, 1.350000037E+00,-2.727272768E-01, 0.000000000E+00, 1.682732425E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       147, 1.500000042E+00,-2.727272768E-01, 0.000000000E+00, 1.684113423E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       148, 1.649999926E+00,-2.727272768E-01, 0.000000000E+00, 1.685785895E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       149, 1.799999875E+00,-2.727272687E-01, 0.000000000E+00, 1.687706654E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       150, 1.950000054E+00,-2.727272768E-01, 0.000000000E+00, 1.689745883E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       151, 2.099999954E+00,-2.727272788E-01, 0.000000000E+00, 1.691787461E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       152, 2.250000061E+00,-2.727272768E-01, 0.000000000E+00, 1.693687758E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       153,-4.499999820E-01,-2.545454583E-01, 0.000000000E+00, 1.651162309E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       154,-3.000000072E-01,-2.545454583E-01, 0.000000000E+00, 1.652980873E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       155,-1.500000050E-01,-2.545454583E-01, 0.000000000E+00, 1.666193040E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       156, 1.307981501E-15,-2.545454583E-01, 0.000000000E+00, 1.698661980E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       157, 1.500000033E-01,-2.545454545E-01, 0.000000000E+00, 1.713045396E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       158, 3.000000072E-01,-2.545454583E-01, 0.000000000E+00, 1.702954003E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       159, 4.499999820E-01,-2.545454583E-01, 0.000000000E+00, 1.693151837E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       160, 5.999999973E-01,-2.545454508E-01, 0.000000000E+00, 1.687407704E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       161, 7.500000434E-01,-2.545454659E-01, 0.000000000E+00, 1.684425909E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       162, 8.999999640E-01,-2.545454583E-01, 0.000000000E+00, 1.683246542E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       163, 1.049999909E+00,-2.545454583E-01, 0.000000000E+00, 1.683340505E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       164, 1.200000069E+00,-2.545454659E-01, 0.000000000E+00, 1.684262843E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       165, 1.350000037E+00,-2.545454583E-01, 0.000000000E+00, 1.685898472E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       166, 1.500000042E+00,-2.545454583E-01, 0.000000000E+00, 1.688058610E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       167, 1.649999926E+00,-2.545454583E-01, 0.000000000E+00, 1.690525560E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       168, 1.799999875E+00,-2.545454508E-01, 0.000000000E+00, 1.693109998E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       169, 1.950000054E+00,-2.545454583E-01, 0.000000000E+00, 1.695615062E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       170, 2.099999954E+00,-2.545454602E-01, 0.000000000E+00, 1.697851840E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       171, 2.250000061E+00,-2.545454583E-01, 0.000000000E+00, 1.699651741E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       172,-4.499999820E-01,-2.363636399E-01, 0.000000000E+00, 1.650695866E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       173,-3.000000072E-01,-2.363636399E-01, 0.000000000E+00, 1.651649399E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       174,-1.500000050E-01,-2.363636399E-01, 0.000000000E+00, 1.664535442E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       175, 7.285838599E-16,-2.363636399E-01, 0.000000000E+00, 1.701557963E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       176, 1.500000033E-01,-2.363636364E-01, 0.000000000E+00, 1.716302342E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       177, 3.000000072E-01,-2.363636399E-01, 0.000000000E+00, 1.703482234E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       178, 4.499999820E-01,-2.363636399E-01, 0.000000000E+00, 1.693122090E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       179, 5.999999973E-01,-2.363636328E-01, 0.000000000E+00, 1.687615562E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       180, 7.500000434E-01,-2.363636469E-01, 0.000000000E+00, 1.685172015E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       181, 8.999999640E-01,-2.363636399E-01, 0.000000000E+00, 1.684724547E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       182, 1.049999909E+00,-2.363636399E-01, 0.000000000E+00, 1.685648199E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       183, 1.200000069E+00,-2.363636469E-01, 0.000000000E+00, 1.687567087E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       184, 1.350000037E+00,-2.363636399E-01, 0.000000000E+00, 1.690231878E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       185, 1.500000042E+00,-2.363636399E-01, 0.000000000E+00, 1.693300149E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       186, 1.649999926E+00,-2.363636399E-01, 0.000000000E+00, 1.696451651E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       187, 1.799999875E+00,-2.363636328E-01, 0.000000000E+00, 1.699419373E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       188, 1.950000054E+00,-2.363636399E-01, 0.000000000E+00, 1.701975166E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
