nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       432, 1.500000019E+00,-4.825270241E-17, 2.147368393E-01, 2.574124706E-01,-3.092275850E-02, 2.023416994E-02, 2.237889820E+00
       433, 1.649999926E+00,-4.927984123E-17, 2.147368425E-01, 2.488008982E-01,-2.978633825E-02, 1.730772515E-02, 2.257802393E+00
       434, 1.799999875E+00,-5.030697863E-17, 2.147368361E-01, 2.406419873E-01,-2.880534046E-02, 1.491129647E-02, 2.275138668E+00
       435, 1.950000082E+00,-5.133412063E-17, 2.147368457E-01, 2.330327921E-01,-2.795409854E-02, 1.293712186E-02, 2.290288772E+00
       436, 2.099999938E+00,-5.236125796E-17, 2.147368425E-01, 2.260127974E-01,-2.718177771E-02, 1.129993827E-02, 2.303561241E+00
       437, 2.250000061E+00,-5.338839769E-17, 2.147368425E-01, 2.195796876E-01,-2.648253992E-02, 9.929157870E-03, 2.315237182E+00
       438,-4.499999820E-01,-3.281138170E-17, 2.315789483E-01, 1.013433325E-01, 2.181784074E-03,-3.381463794E-04, 2.465612517E+00
       439,-3.000000072E-01,-3.380428245E-17, 2.315789483E-01, 1.020990256E-01, 7.105123553E-03,-6.564718616E-04, 2.459792439E+00
       440,-1.500000033E-01,-3.479718287E-17, 2.315789449E-01, 1.040119190E-01, 4.254387274E-02,-1.772019220E-03, 2.430512977E+00
       441,-9.315465066E-16,-3.579008435E-17, 2.315789483E-01, 1.197078428E-01, 2.154585050E-01,-8.287457506E-03, 2.489455863E+00
       442, 1.500000033E-01,-3.678298476E-17, 2.315789449E-01, 1.623621297E-01, 4.556270113E-02, 2.510323931E-03, 2.407125629E+00
       443, 3.000000072E-01,-3.777588624E-17, 2.315789483E-01, 2.041130091E-01,-1.803917375E-02, 1.660680469E-02, 2.319739538E+00
       444, 4.499999820E-01,-3.876878699E-17, 2.315789483E-01, 2.341427654E-01,-3.806112185E-02, 2.315108052E-02, 2.293701459E+00
       445, 5.999999973E-01,-3.976168695E-17, 2.315789414E-01, 2.524928755E-01,-4.296099301E-02, 2.452302462E-02, 2.288639730E+00
       446, 7.500000434E-01,-4.075459031E-17, 2.315789552E-01, 2.614727264E-01,-4.250868140E-02, 2.362298342E-02, 2.291814385E+00
       447, 8.999999640E-01,-4.174748964E-17, 2.315789483E-01, 2.636917538E-01,-4.064247884E-02, 2.176758171E-02, 2.298869741E+00
       448, 1.049999879E+00,-4.274038893E-17, 2.315789414E-01, 2.614594417E-01,-3.880023109E-02, 1.972983653E-02, 2.307943231E+00
       449, 1.200000069E+00,-4.373329325E-17, 2.315789552E-01, 2.566443889E-01,-3.723883190E-02, 1.776696165E-02, 2.317903952E+00
       450, 1.350000037E+00,-4.472619289E-17, 2.315789483E-01, 2.504409852E-01,-3.585230005E-02, 1.591214287E-02, 2.328064400E+00
       451, 1.500000019E+00,-4.571909316E-17, 2.315789449E-01, 2.436158245E-01,-3.458157554E-02, 1.420699399E-02, 2.337971522E+00
       452, 1.649999926E+00,-4.671199400E-17, 2.315789483E-01, 2.366489674E-01,-3.340610854E-02, 1.268670658E-02, 2.347378464E+00
